"﻿X","Y","OBJECTID","FOD_ID","FPA_ID","SOURCE_SYSTEM_TYPE","SOURCE_SYSTEM","NWCG_REPORTING_AGENCY","NWCG_REPORTING_UNIT_ID","NWCG_REPORTING_UNIT_NAME","SOURCE_REPORTING_UNIT","SOURCE_REPORTING_UNIT_NAME","LOCAL_FIRE_REPORT_ID","LOCAL_INCIDENT_ID","FIRE_CODE","FIRE_NAME","ICS_209_PLUS_INCIDENT_JOIN_ID","ICS_209_PLUS_COMPLEX_JOIN_ID","MTBS_ID","MTBS_FIRE_NAME","COMPLEX_NAME","FIRE_YEAR","DISCOVERY_DATE","DISCOVERY_DOY","DISCOVERY_TIME","NWCG_CAUSE_CLASSIFICATION","NWCG_GENERAL_CAUSE","NWCG_CAUSE_AGE_CATEGORY","CONT_DATE","CONT_DOY","CONT_TIME","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","OWNER_DESCR","STATE","COUNTY","FIPS_CODE","FIPS_NAME"
"-82.142949791","37.705445167","1320001","1799951","SFO-1999WVDOF1999-19177","NONFED","ST-NASF","ST/C&L","USWVWVS","West Virginia Division of Forestry","WVDOF","West Virginia Division of Forestry","","1999-19177","","ROCKHOUSE","","","","","","1999","1999/01/27 00:00:00+00","27","1700","Human","Debris and open burning","","1999/01/27 00:00:00+00","27","1700","13","C","37.70545251","-82.14295357","PRIVATE","WV","Mingo","54059","Mingo County"
"-82.203176951","37.886902343","1320002","1799952","SFO-1999WVDOF1999-19178","NONFED","ST-NASF","ST/C&L","USWVWVS","West Virginia Division of Forestry","WVDOF","West Virginia Division of Forestry","","1999-19178","","WEST FORK  OF TWELVEPOLE","","","","","","1999","1999/02/11 00:00:00+00","42","1300","Human","Debris and open burning","","1999/02/11 00:00:00+00","42","1300","75","C","37.88690972","-82.20318076","PRIVATE","WV","Mingo","54059","Mingo County"
"-82.404605452","37.864842006","1320003","1799953","SFO-1999WVDOF1999-19179","NONFED","ST-NASF","ST/C&L","USWVWVS","West Virginia Division of Forestry","WVDOF","West Virginia Division of Forestry","","1999-19179","","STEPP BRACH","","","","","","1999","1999/02/11 00:00:00+00","42","1755","Human","Debris and open burning","","1999/02/11 00:00:00+00","42","1755","1","B","37.86484937","-82.40460932","PRIVATE","WV","Mingo","54059","Mingo County"
"-82.377371978","37.898059438","1320004","1799954","SFO-1999WVDOF1999-19180","NONFED","ST-NASF","ST/C&L","USWVWVS","West Virginia Division of Forestry","WVDOF","West Virginia Division of Forestry","","1999-19180","","MUDLICK FORK","","","","","","1999","1999/02/11 00:00:00+00","42","1700","Human","Arson/incendiarism","","1999/02/12 00:00:00+00","43","1700","51","C","37.89806681","-82.37737584","PRIVATE","WV","Mingo","54059","Mingo County"
"-82.201008913","37.718116547","1320005","1799955","SFO-1999WVDOF1999-19181","NONFED","ST-NASF","ST/C&L","USWVWVS","West Virginia Division of Forestry","WVDOF","West Virginia Division of Forestry","","1999-19181","","PIGEONROAST CREEK","","","","","","1999","1999/03/17 00:00:00+00","76","1720","Human","Arson/incendiarism","","1999/03/17 00:00:00+00","76","1720","250","D","37.71812389","-82.20101271","PRIVATE","WV","Mingo","54059","Mingo County"
"-82.328286313","37.894992097","1320006","1799957","SFO-1999WVDOF1999-19183","NONFED","ST-NASF","ST/C&L","USWVWVS","West Virginia Division of Forestry","WVDOF","West Virginia Division of Forestry","","1999-19183","","JENNIES CREEK","","","","","","1999","1999/03/18 00:00:00+00","77","1425","Human","Arson/incendiarism","","1999/03/18 00:00:00+00","77","1425","238","D","37.89499947","-82.32829016","PRIVATE","WV","Mingo","54059","Mingo County"
"-82.215441712","37.670921447","1320007","1799958","SFO-1999WVDOF1999-19184","NONFED","ST-NASF","ST/C&L","USWVWVS","West Virginia Division of Forestry","WVDOF","West Virginia Division of Forestry","","1999-19184","","LICK CREEK","","","","","","1999","1999/03/18 00:00:00+00","77","1935","Human","Arson/incendiarism","","1999/03/18 00:00:00+00","77","1935","2","B","37.67092878","-82.21544551","PRIVATE","WV","Mingo","54059","Mingo County"
"-82.38142545","37.859348546","1320008","1799959","SFO-1999WVDOF1999-19185","NONFED","ST-NASF","ST/C&L","USWVWVS","West Virginia Division of Forestry","WVDOF","West Virginia Division of Forestry","","1999-19185","","SCHOOL HOUSE HOLLOW","","","","","","1999","1999/03/19 00:00:00+00","78","1345","Human","Debris and open burning","","1999/03/19 00:00:00+00","78","1345","6","B","37.85935591","-82.38142931","PRIVATE","WV","Mingo","54059","Mingo County"
"-82.365452927","37.825377662","1320009","1799960","SFO-1999WVDOF1999-19186","NONFED","ST-NASF","ST/C&L","USWVWVS","West Virginia Division of Forestry","WVDOF","West Virginia Division of Forestry","","1999-19186","","UPPER BURNING CREEK","","","","","","1999","1999/03/20 00:00:00+00","79","1500","Human","Arson/incendiarism","","1999/03/20 00:00:00+00","79","1500","73","C","37.82538502","-82.36545678","PRIVATE","WV","Mingo","54059","Mingo County"
"-82.088208711","37.654589475","1320010","1799961","SFO-1999WVDOF1999-19187","NONFED","ST-NASF","ST/C&L","USWVWVS","West Virginia Division of Forestry","WVDOF","West Virginia Division of Forestry","","1999-19187","","MEANER BRANCH","","","","","","1999","1999/03/22 00:00:00+00","81","1530","Human","Arson/incendiarism","","1999/03/22 00:00:00+00","81","1530","105","D","37.65459681","-82.08821247","PRIVATE","WV","Mingo","54059","Mingo County"
"-82.132076391","37.758726036","1320011","1799962","SFO-1999WVDOF1999-19188","NONFED","ST-NASF","ST/C&L","USWVWVS","West Virginia Division of Forestry","WVDOF","West Virginia Division of Forestry","","1999-19188","","SCARLET ROAD","","","","","","1999","1999/03/22 00:00:00+00","81","1915","Human","Arson/incendiarism","","1999/03/23 00:00:00+00","82","1915","19","C","37.75873339","-82.13208017","PRIVATE","WV","Mingo","54059","Mingo County"
