"﻿X","Y","OBJECTID","FOD_ID","FPA_ID","SOURCE_SYSTEM_TYPE","SOURCE_SYSTEM","NWCG_REPORTING_AGENCY","NWCG_REPORTING_UNIT_ID","NWCG_REPORTING_UNIT_NAME","SOURCE_REPORTING_UNIT","SOURCE_REPORTING_UNIT_NAME","LOCAL_FIRE_REPORT_ID","LOCAL_INCIDENT_ID","FIRE_CODE","FIRE_NAME","ICS_209_PLUS_INCIDENT_JOIN_ID","ICS_209_PLUS_COMPLEX_JOIN_ID","MTBS_ID","MTBS_FIRE_NAME","COMPLEX_NAME","FIRE_YEAR","DISCOVERY_DATE","DISCOVERY_DOY","DISCOVERY_TIME","NWCG_CAUSE_CLASSIFICATION","NWCG_GENERAL_CAUSE","NWCG_CAUSE_AGE_CATEGORY","CONT_DATE","CONT_DOY","CONT_TIME","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","OWNER_DESCR","STATE","COUNTY","FIPS_CODE","FIPS_NAME"
"-87.312594951","33.944593637","1435001","19909688","AL-WK-1995-254-004","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS","Alabama Forestry Commission","","004","","","","","","","","1995","1995/09/11 00:00:00+00","254","1320","Human","Debris and open burning","","","","","1","B","33.9446","-87.3126","MISSING/NOT SPECIFIED","AL","WK","01127","Walker County"
"-87.292424977","33.593693709","1435002","19909689","AL-WK-1995-254-006","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS","Alabama Forestry Commission","","006","","","","","","","","1995","1995/09/11 00:00:00+00","254","1245","Human","Recreation and ceremony","","","","","2.1","B","33.5937","-87.29243","MISSING/NOT SPECIFIED","AL","WK","01127","Walker County"
"-87.564844877","34.000153635","1435003","19909690","AL-WK-1995-255-001","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS","Alabama Forestry Commission","","001","","","","","","","","1995","1995/09/12 00:00:00+00","255","1200","Human","Debris and open burning","","","","","5","B","34.00016","-87.56485","MISSING/NOT SPECIFIED","AL","WK","01127","Walker County"
"-87.592264874","33.920663653","1435004","19909691","AL-WK-1995-258-002","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS","Alabama Forestry Commission","","002","","","","","","","","1995","1995/09/15 00:00:00+00","258","1420","Human","Smoking","","","","","0.5","B","33.92067","-87.59227","MISSING/NOT SPECIFIED","AL","WK","01127","Walker County"
"-87.032865038","33.809173654","1435005","19909692","AL-WK-1995-262-001","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS","Alabama Forestry Commission","","001","","","","","","","","1995","1995/09/19 00:00:00+00","262","0800","Human","Debris and open burning","","","","","1.5","B","33.80918","-87.03287","MISSING/NOT SPECIFIED","AL","WK","01127","Walker County"
"-87.435474918","33.930433645","1435006","19909693","AL-WK-1995-262-002","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS","Alabama Forestry Commission","","002","","","","","","","","1995","1995/09/19 00:00:00+00","262","1400","Human","Debris and open burning","","","","","37","C","33.93044","-87.43548","MISSING/NOT SPECIFIED","AL","WK","01127","Walker County"
"-87.592264874","33.920663653","1435007","19909694","AL-WK-1995-271-001","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS","Alabama Forestry Commission","","001","","","","","","","","1995","1995/09/28 00:00:00+00","271","1300","Human","Missing data/not specified/undetermined","","","","","0.5","B","33.92067","-87.59227","MISSING/NOT SPECIFIED","AL","WK","01127","Walker County"
"-87.523354881","34.136893605","1435008","19909695","AL-WS-1994-324-006","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS","Alabama Forestry Commission","","006","","","","","","","","1994","1994/11/20 00:00:00+00","324","1530","Human","Smoking","","","","","2.8","B","34.1369","-87.52336","MISSING/NOT SPECIFIED","AL","WS","01133","Winston County"
"-87.329174928","34.263853571","1435009","19909697","AL-WS-1994-327-005","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS","Alabama Forestry Commission","","005","","","","","","","","1994","1994/11/23 00:00:00+00","327","1245","Human","Debris and open burning","","","","","5.4","B","34.26386","-87.32918","MISSING/NOT SPECIFIED","AL","WS","01133","Winston County"
"-87.453364902","34.106173609","1435010","19909700","AL-WS-1994-362-002","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS","Alabama Forestry Commission","","002","","","","","","","","1994","1994/12/28 00:00:00+00","362","1200","Human","Missing data/not specified/undetermined","","","","","1.6","B","34.10618","-87.45337","MISSING/NOT SPECIFIED","AL","WS","01133","Winston County"
