"﻿X","Y","OBJECTID","FOD_ID","FPA_ID","SOURCE_SYSTEM_TYPE","SOURCE_SYSTEM","NWCG_REPORTING_AGENCY","NWCG_REPORTING_UNIT_ID","NWCG_REPORTING_UNIT_NAME","SOURCE_REPORTING_UNIT","SOURCE_REPORTING_UNIT_NAME","LOCAL_FIRE_REPORT_ID","LOCAL_INCIDENT_ID","FIRE_CODE","FIRE_NAME","ICS_209_PLUS_INCIDENT_JOIN_ID","ICS_209_PLUS_COMPLEX_JOIN_ID","MTBS_ID","MTBS_FIRE_NAME","COMPLEX_NAME","FIRE_YEAR","DISCOVERY_DATE","DISCOVERY_DOY","DISCOVERY_TIME","NWCG_CAUSE_CLASSIFICATION","NWCG_GENERAL_CAUSE","NWCG_CAUSE_AGE_CATEGORY","CONT_DATE","CONT_DOY","CONT_TIME","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","OWNER_DESCR","STATE","COUNTY","FIPS_CODE","FIPS_NAME"
"-98.536091908","34.748993983","360001","370450","FWS-1994OKWMR2763","FED","FWS-FMIS","FWS","USOKWMR","Wichita Mountains National Wildlife Refuge","OKWMR","Wichita Mountains National Wildlife Refuge","","","2763","BURNT TRUC","","","","","","1994","1994/09/07 00:00:00+00","250","1100","Human","Equipment and vehicle use","","1994/09/07 00:00:00+00","250","1130","0.1","A","34.749","-98.5361","FWS","OK","","",""
"-98.712491867","34.710993999","360002","370451","FWS-1994OKWMR2770","FED","FWS-FMIS","FWS","USOKWMR","Wichita Mountains National Wildlife Refuge","OKWMR","Wichita Mountains National Wildlife Refuge","","","2770","CAMPFIRE","","","","","","1994","1994/09/08 00:00:00+00","251","2100","Human","Recreation and ceremony","","1994/09/09 00:00:00+00","252","0900","0.1","A","34.711","-98.7125","FWS","OK","","",""
"-98.540791908","34.725993987","360003","370452","FWS-1994OKWMR2771","FED","FWS-FMIS","FWS","USOKWMR","Wichita Mountains National Wildlife Refuge","OKWMR","Wichita Mountains National Wildlife Refuge","","","2771","ARSON1","","","","","","1994","1994/09/05 00:00:00+00","248","1445","Human","Recreation and ceremony","","1994/09/05 00:00:00+00","248","1510","0.1","A","34.726","-98.5408","FWS","OK","","",""
"-94.766659547","34.658327148","360004","370453","FWS-1994OKWMR2776","FED","FWS-FMIS","FWS","USOKWMR","Wichita Mountains National Wildlife Refuge","OKWMR","Wichita Mountains National Wildlife Refuge","","","2776","INDIAHOMA","","","","","","1994","1994/10/03 00:00:00+00","276","1800","Natural","Natural","","1994/10/03 00:00:00+00","276","1920","40","C","34.65833333","-94.76666667","PRIVATE","OK","","",""
"-98.799991836","34.824993983","360005","370454","FWS-1994OKWMR2835","FED","FWS-FMIS","FWS","USOKWMR","Wichita Mountains National Wildlife Refuge","OKWMR","Wichita Mountains National Wildlife Refuge","","","2835","BAKER","","","","","","1994","1994/11/21 00:00:00+00","325","1130","Natural","Natural","","1994/11/25 00:00:00+00","329","0800","1600","F","34.825","-98.8","FWS","OK","","",""
"-123.083318935","44.783327949","360006","370456","FWS-1994ORAKR1746","FED","FWS-FMIS","FWS","USORAKR","Ankeny National Wildlife Refuge","ORAKR","Ankeny National Wildlife Refuge","","","1746","MOHOFF","","","","","","1994","1994/07/25 00:00:00+00","206","1710","Human","Equipment and vehicle use","","1994/07/25 00:00:00+00","206","1725","12","C","44.78333333","-123.08333333","FWS","OR","","",""
"-121.298745849","44.9666611","360007","370457","FWS-1994ORBKR1806","FED","FWS-FMIS","FWS","USORBKR","Baskett Slough National Wildlife Refuge","ORBKR","Baskett Slough National Wildlife Refuge ","","","1806","HUGHBOY","","","","","","1994","1994/10/22 00:00:00+00","295","1400","Human","Debris and open burning","","1994/10/22 00:00:00+00","295","1440","10","C","44.96666667","-121.29876","FWS","OR","","",""
"-119.116652704","45.86666082","360008","370458","FWS-1994ORCOR1623","FED","FWS-FMIS","FWS","USORCOR","Cold Springs National Wildlife Refuge","ORCOR","Cold Springs National Wildlife Refuge","","","1623","DISTRICT","","","","","","1994","1994/03/15 00:00:00+00","74","1729","Human","Debris and open burning","","1994/03/15 00:00:00+00","74","1925","103","D","45.86666667","-119.11666667","FWS","OR","","",""
"-119.416653134","43.333327694","360009","370459","FWS-1994ORHMR1729","FED","FWS-FMIS","FWS","USORHMR","Hart Mountain National Antelope Refuge","ORHMR","The Hart Mountain National Antelope Refuge","","","1729","BEATY","","","","","","1994","1994/07/20 00:00:00+00","201","1730","Natural","Natural","","1994/07/21 00:00:00+00","202","2000","400","E","43.33333333","-119.41666667","BLM","OR","","",""
"-119.416653076","43.666661008","360010","370460","FWS-1994ORHMR1730","FED","FWS-FMIS","FWS","USORHMR","Hart Mountain National Antelope Refuge","ORHMR","The Hart Mountain National Antelope Refuge","","","1730","ROCK CR","","","","","","1994","1994/07/22 00:00:00+00","203","1830","Natural","Natural","","1994/07/23 00:00:00+00","204","0900","40","C","43.66666667","-119.41666667","BLM","OR","","",""
