"﻿X","Y","OBJECTID","FOD_ID","FPA_ID","SOURCE_SYSTEM_TYPE","SOURCE_SYSTEM","NWCG_REPORTING_AGENCY","NWCG_REPORTING_UNIT_ID","NWCG_REPORTING_UNIT_NAME","SOURCE_REPORTING_UNIT","SOURCE_REPORTING_UNIT_NAME","LOCAL_FIRE_REPORT_ID","LOCAL_INCIDENT_ID","FIRE_CODE","FIRE_NAME","ICS_209_PLUS_INCIDENT_JOIN_ID","ICS_209_PLUS_COMPLEX_JOIN_ID","MTBS_ID","MTBS_FIRE_NAME","COMPLEX_NAME","FIRE_YEAR","DISCOVERY_DATE","DISCOVERY_DOY","DISCOVERY_TIME","NWCG_CAUSE_CLASSIFICATION","NWCG_GENERAL_CAUSE","NWCG_CAUSE_AGE_CATEGORY","CONT_DATE","CONT_DOY","CONT_TIME","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","OWNER_DESCR","STATE","COUNTY","FIPS_CODE","FIPS_NAME"
"-84.417895886","31.773093998","1240001","1644120","SFO-2000GAGAS-FY2000-Terrell-022","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2000-Terrell-022","","FY2000-TERRELL-022","","","","","","2000","2000/02/08 00:00:00+00","39","1442","Human","Debris and open burning","","2000/02/08 00:00:00+00","39","1442","9","B","31.7731","-84.4179","PRIVATE","GA","Terrell","13273","Terrell County"
"-84.317495912","31.841593979","1240002","1644121","SFO-2000GAGAS-FY2000-Terrell-023","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2000-Terrell-023","","FY2000-TERRELL-023","","","","","","2000","2000/02/23 00:00:00+00","54","1648","Human","Debris and open burning","","2000/02/23 00:00:00+00","54","1648","0.25","A","31.8416","-84.3175","PRIVATE","GA","Terrell","13273","Terrell County"
"-84.477795873","31.687394019","1240003","1644122","SFO-2000GAGAS-FY2000-Terrell-024","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2000-Terrell-024","","FY2000-TERRELL-024","","","","","","2000","2000/03/02 00:00:00+00","62","1555","Human","Debris and open burning","","2000/03/02 00:00:00+00","62","1555","1.8","B","31.6874","-84.4778","PRIVATE","GA","Terrell","13273","Terrell County"
"-84.377895895","31.841593981","1240004","1644123","SFO-2000GAGAS-FY2000-Terrell-025","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2000-Terrell-025","","FY2000-TERRELL-025","","","","","","2000","2000/03/03 00:00:00+00","63","1830","Human","Debris and open burning","","2000/03/03 00:00:00+00","63","1830","0.2","A","31.8416","-84.3779","PRIVATE","GA","Terrell","13273","Terrell County"
"-84.417595889","31.721594009","1240005","1644125","SFO-2000GAGAS-FY2000-Terrell-027","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2000-Terrell-027","","FY2000-TERRELL-027","","","","","","2000","2000/03/15 00:00:00+00","75","1410","Human","Debris and open burning","","2000/03/15 00:00:00+00","75","1410","0.6","B","31.7216","-84.4176","PRIVATE","GA","Terrell","13273","Terrell County"
"-84.316895921","31.652994021","1240006","1644126","SFO-2000GAGAS-FY2000-Terrell-028","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2000-Terrell-028","","FY2000-TERRELL-028","","","","","","2000","2000/03/24 00:00:00+00","84","1655","Human","Debris and open burning","","2000/03/24 00:00:00+00","84","1655","1.5","B","31.653","-84.3169","PRIVATE","GA","Terrell","13273","Terrell County"
"-84.377195903","31.653094023","1240007","1644127","SFO-2000GAGAS-FY2000-Terrell-029","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2000-Terrell-029","","FY2000-TERRELL-029","","","","","","2000","2000/03/25 00:00:00+00","85","1345","Human","Debris and open burning","","2000/03/25 00:00:00+00","85","1345","22.5","C","31.6531","-84.3772","PRIVATE","GA","Terrell","13273","Terrell County"
"-84.317595911","31.858693976","1240008","1644128","SFO-2000GAGAS-FY2000-Terrell-030","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2000-Terrell-030","","FY2000-TERRELL-030","","","","","","2000","2000/04/21 00:00:00+00","112","1615","Human","Debris and open burning","","2000/04/21 00:00:00+00","112","1615","45","C","31.8587","-84.3176","PRIVATE","GA","Terrell","13273","Terrell County"
"-84.297395918","31.824393983","1240009","1644129","SFO-2000GAGAS-FY2000-Terrell-031","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2000-Terrell-031","","FY2000-TERRELL-031","","","","","","2000","2000/05/02 00:00:00+00","123","1300","Human","Debris and open burning","","2000/05/02 00:00:00+00","123","1300","0.2","A","31.8244","-84.2974","PRIVATE","GA","Terrell","13273","Terrell County"
"-84.478195869","31.773094","1240010","1644130","SFO-2000GAGAS-FY2000-Terrell-032","NONFED","ST-NASF","ST/C&L","USGAGAS","Georgia Forestry Commission","GAGAS","Georgia Forestry Commission","","FY2000-Terrell-032","","FY2000-TERRELL-032","","","","","","2000","2000/05/02 00:00:00+00","123","0155","Human","Debris and open burning","","2000/05/02 00:00:00+00","123","1635","3.2","B","31.7731","-84.4782","PRIVATE","GA","Terrell","13273","Terrell County"
