"﻿X","Y","OBJECTID","FOD_ID","FPA_ID","SOURCE_SYSTEM_TYPE","SOURCE_SYSTEM","NWCG_REPORTING_AGENCY","NWCG_REPORTING_UNIT_ID","NWCG_REPORTING_UNIT_NAME","SOURCE_REPORTING_UNIT","SOURCE_REPORTING_UNIT_NAME","LOCAL_FIRE_REPORT_ID","LOCAL_INCIDENT_ID","FIRE_CODE","FIRE_NAME","ICS_209_PLUS_INCIDENT_JOIN_ID","ICS_209_PLUS_COMPLEX_JOIN_ID","MTBS_ID","MTBS_FIRE_NAME","COMPLEX_NAME","FIRE_YEAR","DISCOVERY_DATE","DISCOVERY_DOY","DISCOVERY_TIME","NWCG_CAUSE_CLASSIFICATION","NWCG_GENERAL_CAUSE","NWCG_CAUSE_AGE_CATEGORY","CONT_DATE","CONT_DOY","CONT_TIME","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","OWNER_DESCR","STATE","COUNTY","FIPS_CODE","FIPS_NAME"
"-104.811588587","48.222792541","195001","197661","W-364145","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","71","","","E.BROWNS","","","","","","1998","1998/08/10 00:00:00+00","222","2000","Natural","Natural","","1998/08/10 00:00:00+00","222","2330","15","C","48.2228","-104.8116","BIA","MT","","",""
"-105.082488544","48.108092578","195002","197662","W-364146","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","72","","","SPROLE","","","","","","1998","1998/08/11 00:00:00+00","223","0300","Human","Arson/incendiarism","","1998/08/11 00:00:00+00","223","0350","1.5","B","48.1081","-105.0825","BIA","MT","","",""
"-105.050788551","48.108392575","195003","197663","W-364147","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","73","","","SPROLE 2","","","","","","1998","1998/08/11 00:00:00+00","223","0630","Human","Arson/incendiarism","","1998/08/11 00:00:00+00","223","0800","0.5","B","48.1084","-105.0508","BIA","MT","","",""
"-105.661888381","48.201392623","195004","197664","W-364148","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","74","","","VOIT NORTH","","","","","","1998","1998/08/11 00:00:00+00","223","1215","Human","Debris and open burning","","1998/08/11 00:00:00+00","223","2000","1","B","48.2014","-105.6619","BIA","MT","","",""
"-105.103288539","48.10749258","195005","197665","W-364149","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","75","","","RY SOUTH","","","","","","1998","1998/08/13 00:00:00+00","225","0230","Human","Arson/incendiarism","","1998/08/13 00:00:00+00","225","0530","2","B","48.1075","-105.1033","BIA","MT","","",""
"-105.199088513","48.115292588","195006","197666","W-364150","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","76","","","LOGERING N","","","","","","1998","1998/08/13 00:00:00+00","225","1720","Human","Misuse of fire by a minor","Minor","1998/08/13 00:00:00+00","225","1815","1","B","48.1153","-105.1991","BIA","MT","","",""
"-105.208888512","48.11109259","195007","197667","W-364151","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","77","","","TRACKFIELD","","","","","","1998","1998/08/13 00:00:00+00","225","1820","Human","Misuse of fire by a minor","Minor","1998/08/13 00:00:00+00","225","1855","1","B","48.1111","-105.2089","BIA","MT","","",""
"-105.089688542","48.107192579","195008","197668","W-364152","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","78","","","RY SOUTH 2","","","","","","1998","1998/08/17 00:00:00+00","229","0335","Human","Arson/incendiarism","","1998/08/17 00:00:00+00","229","0535","4.3","B","48.1072","-105.0897","BIA","MT","","",""
"-105.151388529","48.094492586","195009","197669","W-364153","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","79","","","LEINEN","","","","","","1998","1998/08/20 00:00:00+00","232","1400","Human","Smoking","","1998/08/21 00:00:00+00","233","0800","101","D","48.0945","-105.1514","BIA","MT","","",""
"-105.181888519","48.108392587","195010","197670","W-364156","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","82","","","B 6TH EAST","","","","","","1998","1998/08/22 00:00:00+00","234","1400","Human","Fireworks","Minor","1998/08/22 00:00:00+00","234","1430","1","B","48.1084","-105.1819","BIA","MT","","",""
"-105.154088528","48.098092586","195011","197671","W-364157","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","83","","","DOUBLE D","","","","","","1998","1998/08/22 00:00:00+00","234","1452","Human","Missing data/not specified/undetermined","","1998/08/22 00:00:00+00","234","1515","1","B","48.0981","-105.1541","BIA","MT","","",""
"-105.083288544","48.107492578","195012","197672","W-364158","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","84","","","RY SOUTH 3","","","","","","1998","1998/08/22 00:00:00+00","234","1525","Human","Railroad operations and maintenance","","1998/08/22 00:00:00+00","234","1600","1","B","48.1075","-105.0833","BIA","MT","","",""
"-105.220288506","48.123092589","195013","197673","W-364159","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","85","","","MAGNAN","","","","","","1998","1998/08/22 00:00:00+00","234","1531","Human","Arson/incendiarism","","1998/08/22 00:00:00+00","234","1900","76","C","48.1231","-105.2203","BIA","MT","","",""
"-105.032488565","48.065292578","195014","197674","W-364160","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","86","","","NEWBRIDGE","","","","","","1998","1998/08/22 00:00:00+00","234","1535","Human","Recreation and ceremony","","1998/08/22 00:00:00+00","234","1615","1","B","48.0653","-105.0325","BIA","MT","","",""
"-105.158288527","48.098392586","195015","197675","W-364161","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","87","","","WAGNER","","","","","","1998","1998/08/23 00:00:00+00","235","2140","Human","Arson/incendiarism","","1998/08/23 00:00:00+00","235","2245","1","B","48.0984","-105.1583","BIA","MT","","",""
"-105.049388556","48.085892577","195016","197676","W-364165","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","91","","","HOPKINS E","","","","","","1998","1998/08/31 00:00:00+00","243","1910","Human","Smoking","","1998/08/31 00:00:00+00","243","2100","1.5","B","48.0859","-105.0494","BIA","MT","","",""
"-105.696088348","48.317792614","195017","197677","W-364166","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","92","","","TOAVS","","","","","","1998","1998/09/01 00:00:00+00","244","1700","Human","Smoking","","1998/09/01 00:00:00+00","244","1830","2","B","48.3178","-105.6961","BIA","MT","","",""
"-106.040888319","48.055592673","195018","197678","W-364168","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","94","","","FRAZER","","","","","","1998","1998/09/02 00:00:00+00","245","1300","Human","Misuse of fire by a minor","Minor","1998/09/02 00:00:00+00","245","1500","8","B","48.0556","-106.0409","BIA","MT","","",""
"-105.145488528","48.106992584","195019","197679","W-364169","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","95","","","2 MILES E","","","","","","1998","1998/09/02 00:00:00+00","245","1510","Human","Smoking","","1998/09/02 00:00:00+00","245","1615","4","B","48.107","-105.1455","BIA","MT","","",""
"-105.181888519","48.105892588","195020","197680","W-364173","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","99","","","SOLIDWSTE","","","","","","1998","1998/09/04 00:00:00+00","247","1420","Human","Debris and open burning","","1998/09/04 00:00:00+00","247","1520","1","B","48.1059","-105.1819","BIA","MT","","",""
"-105.186888515","48.121992586","195021","197681","W-364174","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","100","","","NEW BIA","","","","","","1998","1998/09/04 00:00:00+00","247","1620","Human","Arson/incendiarism","","1998/09/04 00:00:00+00","247","1745","1.5","B","48.122","-105.1869","BIA","MT","","",""
"-105.201888512","48.118092588","195022","197682","W-364175","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","101","","","POW WOW","","","","","","1998","1998/09/05 00:00:00+00","248","1840","Human","Misuse of fire by a minor","Minor","1998/09/05 00:00:00+00","248","2100","1.5","B","48.1181","-105.2019","BIA","MT","","",""
"-105.17998852","48.104992588","195023","197683","W-364176","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","102","","","MISSOURI","","","","","","1998","1998/09/05 00:00:00+00","248","2145","Human","Recreation and ceremony","","1998/09/05 00:00:00+00","248","2230","1","B","48.105","-105.18","BIA","MT","","",""
"-105.199688516","48.10029259","195024","197684","W-364177","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","103","","","THE TREE","","","","","","1998","1998/09/05 00:00:00+00","248","2320","Human","Arson/incendiarism","","1998/09/05 00:00:00+00","248","2359","1.2","B","48.1003","-105.1997","BIA","MT","","",""
"-105.208588513","48.10419259","195025","197685","W-364178","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","104","","","DAGO BEND2","","","","","","1998","1998/09/06 00:00:00+00","249","0800","Human","Equipment and vehicle use","","1998/09/06 00:00:00+00","249","0930","2","B","48.1042","-105.2086","BIA","MT","","",""
"-105.181888519","48.105892588","195026","197686","W-364179","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","105","","","SOLIDWSTE2","","","","","","1998","1998/09/06 00:00:00+00","249","0840","Human","Debris and open burning","","1998/09/06 00:00:00+00","249","0920","0.1","A","48.1059","-105.1819","BIA","MT","","",""
"-105.181888519","48.105892588","195027","197687","W-364180","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","106","","","SOLIDWSTE3","","","","","","1998","1998/09/06 00:00:00+00","249","1614","Human","Debris and open burning","","1998/09/06 00:00:00+00","249","1700","0.1","A","48.1059","-105.1819","BIA","MT","","",""
"-105.183588518","48.109692587","195028","197688","W-364182","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","108","","","FIFTH.B.ST","","","","","","1998","1998/09/07 00:00:00+00","250","1845","Human","Misuse of fire by a minor","Minor","1998/09/07 00:00:00+00","250","1915","1","B","48.1097","-105.1836","BIA","MT","","",""
"-105.172788519","48.118092585","195029","197689","W-364183","FED","DOI-WFMI","BIA","USMTFPA","Fort Peck Agency","MTFPA","Fort Peck Agency","109","","","PRAIRIEDOG","","","","","","1998","1998/09/08 00:00:00+00","251","2120","Human","Arson/incendiarism","","1998/09/08 00:00:00+00","251","2200","0.5","B","48.1181","-105.1728","BIA","MT","","",""
