"﻿X","Y","OBJECTID","FOD_ID","FPA_ID","SOURCE_SYSTEM_TYPE","SOURCE_SYSTEM","NWCG_REPORTING_AGENCY","NWCG_REPORTING_UNIT_ID","NWCG_REPORTING_UNIT_NAME","SOURCE_REPORTING_UNIT","SOURCE_REPORTING_UNIT_NAME","LOCAL_FIRE_REPORT_ID","LOCAL_INCIDENT_ID","FIRE_CODE","FIRE_NAME","ICS_209_PLUS_INCIDENT_JOIN_ID","ICS_209_PLUS_COMPLEX_JOIN_ID","MTBS_ID","MTBS_FIRE_NAME","COMPLEX_NAME","FIRE_YEAR","DISCOVERY_DATE","DISCOVERY_DOY","DISCOVERY_TIME","NWCG_CAUSE_CLASSIFICATION","NWCG_GENERAL_CAUSE","NWCG_CAUSE_AGE_CATEGORY","CONT_DATE","CONT_DOY","CONT_TIME","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","OWNER_DESCR","STATE","COUNTY","FIPS_CODE","FIPS_NAME"
"-86.591695208","32.974393813","855001","977239","SWRA_AL_50687","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS4","AFC District 4","","86.591","","","","","","","","2001","2001/11/06 00:00:00+00","310","","Human","Debris and open burning","","","","","3","B","32.9744","-86.5917","MISSING/NOT SPECIFIED","AL","","",""
"-86.600295224","32.611693891","855002","977240","SWRA_AL_50688","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS4","AFC District 4","","86.600","","","","","","","","2001","2001/11/29 00:00:00+00","333","","Human","Debris and open burning","","","","","2.8","B","32.6117","-86.6003","MISSING/NOT SPECIFIED","AL","","",""
"-86.600295224","32.611693891","855003","977241","SWRA_AL_50689","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS4","AFC District 4","","86.600","","","","","","","","2001","2001/10/08 00:00:00+00","281","","Human","Debris and open burning","","","","","4","B","32.6117","-86.6003","MISSING/NOT SPECIFIED","AL","","",""
"-86.60609521","32.859393838","855004","977242","SWRA_AL_50690","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS4","AFC District 4","","86.606","","","","","","","","2001","2001/11/08 00:00:00+00","312","","Human","Arson/incendiarism","","","","","10","C","32.8594","-86.6061","MISSING/NOT SPECIFIED","AL","","",""
"-86.607495206","32.932193823","855005","977243","SWRA_AL_50691","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS4","AFC District 4","","86.607","","","","","","","","2001","2001/11/06 00:00:00+00","310","","Human","Missing data/not specified/undetermined","","","","","2","B","32.9322","-86.6075","MISSING/NOT SPECIFIED","AL","","",""
"-86.607795205","32.94669382","855006","977244","SWRA_AL_50692","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS4","AFC District 4","","86.607","","","","","","","","2001","2001/10/28 00:00:00+00","301","","Human","Arson/incendiarism","","","","","2","B","32.9467","-86.6078","MISSING/NOT SPECIFIED","AL","","",""
"-86.608095204","32.960793817","855007","977245","SWRA_AL_50693","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS4","AFC District 4","","86.607","","","","","","","","2001","2001/01/28 00:00:00+00","28","","Human","Arson/incendiarism","","","","","0.1","A","32.9608","-86.6081","MISSING/NOT SPECIFIED","AL","","",""
"-86.617195222","32.568093901","855008","977246","SWRA_AL_50694","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS4","AFC District 4","","86.617","","","","","","","","2001","2001/08/26 00:00:00+00","238","","Human","Debris and open burning","","","","","0.5","B","32.5681","-86.6172","MISSING/NOT SPECIFIED","AL","","",""
"-86.624195202","32.917493826","855009","977247","SWRA_AL_50695","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS4","AFC District 4","","86.624","","","","","","","","2001","2001/02/07 00:00:00+00","38","","Human","Debris and open burning","","","","","5","B","32.9175","-86.6242","MISSING/NOT SPECIFIED","AL","","",""
"-86.624995199","32.975593814","855010","977248","SWRA_AL_50696","NONFED","ST-ALALS","ST/C&L","USALALS","Alabama Forestry Commission","ALALS4","AFC District 4","","86.625","","","","","","","","2001","2001/11/09 00:00:00+00","313","","Human","Debris and open burning","","","","","2","B","32.9756","-86.625","MISSING/NOT SPECIFIED","AL","","",""
