"﻿X","Y","OBJECTID","FOD_ID","FPA_ID","SOURCE_SYSTEM_TYPE","SOURCE_SYSTEM","NWCG_REPORTING_AGENCY","NWCG_REPORTING_UNIT_ID","NWCG_REPORTING_UNIT_NAME","SOURCE_REPORTING_UNIT","SOURCE_REPORTING_UNIT_NAME","LOCAL_FIRE_REPORT_ID","LOCAL_INCIDENT_ID","FIRE_CODE","FIRE_NAME","ICS_209_PLUS_INCIDENT_JOIN_ID","ICS_209_PLUS_COMPLEX_JOIN_ID","MTBS_ID","MTBS_FIRE_NAME","COMPLEX_NAME","FIRE_YEAR","DISCOVERY_DATE","DISCOVERY_DOY","DISCOVERY_TIME","NWCG_CAUSE_CLASSIFICATION","NWCG_GENERAL_CAUSE","NWCG_CAUSE_AGE_CATEGORY","CONT_DATE","CONT_DOY","CONT_TIME","FIRE_SIZE","FIRE_SIZE_CLASS","LATITUDE","LONGITUDE","OWNER_DESCR","STATE","COUNTY","FIPS_CODE","FIPS_NAME"
"-82.327796663","27.071395038","985001","1114306","TFS_FL_72057","NONFED","ST-FLFLS","ST/C&L","USFLFLS","Florida Forest Service","FLFLS15","FLS Myakka River District","","0131","","","","","","","","2002","2002/05/23 00:00:00+00","143","","Human","Missing data/not specified/undetermined","","","","","2","B","27.0714","-82.3278","MISSING/NOT SPECIFIED","FL","Sarasota","12115","Sarasota County"
"-82.424696627","27.349394972","985002","1114307","TFS_FL_72058","NONFED","ST-FLFLS","ST/C&L","USFLFLS","Florida Forest Service","FLFLS15","FLS Myakka River District","","0161","","","","","","","","2002","2002/06/02 00:00:00+00","153","","Human","Missing data/not specified/undetermined","","","","","0.1","A","27.3494","-82.4247","MISSING/NOT SPECIFIED","FL","Sarasota","12115","Sarasota County"
"-82.487796613","27.189195013","985003","1114308","TFS_FL_72059","NONFED","ST-FLFLS","ST/C&L","USFLFLS","Florida Forest Service","FLFLS15","FLS Myakka River District","","0187","","","","","","","","2002","2002/08/06 00:00:00+00","218","","Human","Missing data/not specified/undetermined","","","","","2","B","27.1892","-82.4878","MISSING/NOT SPECIFIED","FL","Sarasota","12115","Sarasota County"
"-87.239995137","30.669994336","985004","1114309","TFS_FL_72072","NONFED","ST-FLFLS","ST/C&L","USFLFLS","Florida Forest Service","FLFLS1","FLS Blackwater Forestry Center","","0028","","","","","","","","2000","2000/01/20 00:00:00+00","20","","Human","Debris and open burning","","","","","3","B","30.67","-87.24","MISSING/NOT SPECIFIED","FL","Santa Rosa","12113","Santa Rosa County"
"-87.15999516","30.63999434","985005","1114310","TFS_FL_72073","NONFED","ST-FLFLS","ST/C&L","USFLFLS","Florida Forest Service","FLFLS1","FLS Blackwater Forestry Center","","0033","","","","","","","","2000","2000/01/22 00:00:00+00","22","","Human","Debris and open burning","","","","","0.3","B","30.64","-87.16","MISSING/NOT SPECIFIED","FL","Santa Rosa","12113","Santa Rosa County"
"-86.869995235","30.789994298","985006","1114311","TFS_FL_72074","NONFED","ST-FLFLS","ST/C&L","USFLFLS","Florida Forest Service","FLFLS1","FLS Blackwater Forestry Center","","0063","","","","","","","","2000","2000/02/05 00:00:00+00","36","","Human","Debris and open burning","","","","","3.5","B","30.79","-86.87","MISSING/NOT SPECIFIED","FL","Santa Rosa","12113","Santa Rosa County"
"-86.949995216","30.709994318","985007","1114312","TFS_FL_72075","NONFED","ST-FLFLS","ST/C&L","USFLFLS","Florida Forest Service","FLFLS1","FLS Blackwater Forestry Center","","0070","","","","","","","","2000","2000/02/09 00:00:00+00","40","","Human","Debris and open burning","","","","","4.5","B","30.71","-86.95","MISSING/NOT SPECIFIED","FL","Santa Rosa","12113","Santa Rosa County"
"-87.119995174","30.579994352","985008","1114313","TFS_FL_72076","NONFED","ST-FLFLS","ST/C&L","USFLFLS","Florida Forest Service","FLFLS1","FLS Blackwater Forestry Center","","0117","","","","","","","","2000","2000/02/21 00:00:00+00","52","","Human","Debris and open burning","","","","","5","B","30.58","-87.12","MISSING/NOT SPECIFIED","FL","Santa Rosa","12113","Santa Rosa County"
"-86.91999523","30.589994344","985009","1114314","TFS_FL_72077","NONFED","ST-FLFLS","ST/C&L","USFLFLS","Florida Forest Service","FLFLS1","FLS Blackwater Forestry Center","","0167","","","","","","","","2000","2000/03/12 00:00:00+00","72","","Human","Debris and open burning","","","","","0.7","B","30.59","-86.92","MISSING/NOT SPECIFIED","FL","Santa Rosa","12113","Santa Rosa County"
"-86.869995241","30.659994326","985010","1114315","TFS_FL_72078","NONFED","ST-FLFLS","ST/C&L","USFLFLS","Florida Forest Service","FLFLS1","FLS Blackwater Forestry Center","","0190","","","","","","","","2000","2000/03/29 00:00:00+00","89","","Human","Debris and open burning","","","","","0.3","B","30.66","-86.87","MISSING/NOT SPECIFIED","FL","Santa Rosa","12113","Santa Rosa County"
"-87.119995163","30.829994297","985011","1114316","TFS_FL_72079","NONFED","ST-FLFLS","ST/C&L","USFLFLS","Florida Forest Service","FLFLS1","FLS Blackwater Forestry Center","","0264","","","","","","","","2000","2000/05/14 00:00:00+00","135","","Human","Debris and open burning","","","","","2.5","B","30.83","-87.12","MISSING/NOT SPECIFIED","FL","Santa Rosa","12113","Santa Rosa County"
"-87.109995174","30.649994336","985012","1114317","TFS_FL_72080","NONFED","ST-FLFLS","ST/C&L","USFLFLS","Florida Forest Service","FLFLS1","FLS Blackwater Forestry Center","","0299","","","","","","","","2000","2000/05/30 00:00:00+00","151","","Human","Debris and open burning","","","","","0.1","A","30.65","-87.11","MISSING/NOT SPECIFIED","FL","Santa Rosa","12113","Santa Rosa County"
"-87.063095194","30.494994369","985013","1114320","TFS_FL_72083","NONFED","ST-FLFLS","ST/C&L","USFLFLS","Florida Forest Service","FLFLS1","FLS Blackwater Forestry Center","","0402","","","","","","","","2000","2000/09/20 00:00:00+00","264","","Human","Debris and open burning","","","","","0.3","B","30.495","-87.0631","MISSING/NOT SPECIFIED","FL","Santa Rosa","12113","Santa Rosa County"
"-86.91999523","30.589994344","985014","1114321","TFS_FL_72084","NONFED","ST-FLFLS","ST/C&L","USFLFLS","Florida Forest Service","FLFLS1","FLS Blackwater Forestry Center","","0424","","","","","","","","2000","2000/10/14 00:00:00+00","288","","Human","Debris and open burning","","","","","0.1","A","30.59","-86.92","MISSING/NOT SPECIFIED","FL","Santa Rosa","12113","Santa Rosa County"
"-87.059995191","30.589994348","985015","1114322","TFS_FL_72085","NONFED","ST-FLFLS","ST/C&L","USFLFLS","Florida Forest Service","FLFLS1","FLS Blackwater Forestry Center","","0449","","","","","","","","2000","2000/11/21 00:00:00+00","326","","Human","Debris and open burning","","","","","0.1","A","30.59","-87.06","MISSING/NOT SPECIFIED","FL","Santa Rosa","12113","Santa Rosa County"
